"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Number",""
"        Estimate","172,682"
"    Percent Distribution",""
"        Estimate","172,682"
"    Median income (dollars)",""
"        Estimate","57,387"
"Sutter County, California",""
"    Number",""
"        Estimate","32,360"
"    Percent Distribution",""
"        Estimate","32,360"
"    Median income (dollars)",""
"        Estimate","56,955"
"Tehama County, California",""
"    Number",""
"        Estimate","24,025"
"    Percent Distribution",""
"        Estimate","24,025"
"    Median income (dollars)",""
"        Estimate","42,899"
"Trinity County, California",""
"    Number",""
"        Estimate","5,796"
"    Percent Distribution",""
"        Estimate","5,796"
"    Median income (dollars)",""
"        Estimate","38,497"
"Tulare County, California",""
"    Number",""
"        Estimate","136,106"
"    Percent Distribution",""
"        Estimate","136,106"
"    Median income (dollars)",""
"        Estimate","47,518"
"Tuolumne County, California",""
"    Number",""
"        Estimate","22,427"
"    Percent Distribution",""
"        Estimate","22,427"
"    Median income (dollars)",""
"        Estimate","56,493"
"Ventura County, California",""
"    Number",""
"        Estimate","271,226"
"    Percent Distribution",""
"        Estimate","271,226"
"    Median income (dollars)",""
"        Estimate","84,017"
"Yolo County, California",""
"    Number",""
"        Estimate","73,510"
"    Percent Distribution",""
"        Estimate","73,510"
"    Median income (dollars)",""
"        Estimate","65,923"
"Yuba County, California",""
"    Number",""
"        Estimate","26,179"
"    Percent Distribution",""
"        Estimate","26,179"
"    Median income (dollars)",""
"        Estimate","52,624"
