"Label (Grouping)","Households"
"    Median income (dollars)",""
"        Estimate","67,256"
"Shasta County, California",""
"    Total",""
"        Estimate","69,375"
"    Median income (dollars)",""
"        Estimate","44,620"
"Sierra County, California",""
"    Total",""
"        Estimate","1,252"
"    Median income (dollars)",""
"        Estimate","42,833"
"Siskiyou County, California",""
"    Total",""
"        Estimate","19,133"
"    Median income (dollars)",""
"        Estimate","37,170"
"Solano County, California",""
"    Total",""
"        Estimate","143,612"
"    Median income (dollars)",""
"        Estimate","66,828"
"Sonoma County, California",""
"    Total",""
"        Estimate","187,782"
"    Median income (dollars)",""
"        Estimate","64,240"
"Stanislaus County, California",""
"    Total",""
"        Estimate","169,196"
"    Median income (dollars)",""
"        Estimate","50,125"
"Sutter County, California",""
"    Total",""
"        Estimate","31,917"
"    Median income (dollars)",""
"        Estimate","52,017"
"Tehama County, California",""
"    Total",""
"        Estimate","23,704"
"    Median income (dollars)",""
"        Estimate","41,001"
"Trinity County, California",""
"    Total",""
"        Estimate","5,484"
"    Median income (dollars)",""
"        Estimate","34,974"
"Tulare County, California",""
"    Total",""
"        Estimate","133,570"
"    Median income (dollars)",""
"        Estimate","42,031"
"Tuolumne County, California",""
"    Total",""
"        Estimate","22,133"
"    Median income (dollars)",""
"        Estimate","50,306"
"Ventura County, California",""
"    Total",""
"        Estimate","268,969"
"    Median income (dollars)",""
"        Estimate","77,348"
"Yolo County, California",""
"    Total",""
"        Estimate","71,997"
"    Median income (dollars)",""
"        Estimate","54,989"
"Yuba County, California",""
"    Total",""
"        Estimate","25,139"
"    Median income (dollars)",""
"        Estimate","46,892"
