"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Number",""
"        Estimate","173,898"
"    Percent Distribution",""
"        Estimate","173,898"
"    Median income (dollars)",""
"        Estimate","60,704"
"Sutter County, California",""
"    Number",""
"        Estimate","32,636"
"    Percent Distribution",""
"        Estimate","32,636"
"    Median income (dollars)",""
"        Estimate","59,050"
"Tehama County, California",""
"    Number",""
"        Estimate","24,189"
"    Percent Distribution",""
"        Estimate","24,189"
"    Median income (dollars)",""
"        Estimate","44,514"
"Trinity County, California",""
"    Number",""
"        Estimate","5,939"
"    Percent Distribution",""
"        Estimate","5,939"
"    Median income (dollars)",""
"        Estimate","40,846"
"Tulare County, California",""
"    Number",""
"        Estimate","138,238"
"    Percent Distribution",""
"        Estimate","138,238"
"    Median income (dollars)",""
"        Estimate","49,687"
"Tuolumne County, California",""
"    Number",""
"        Estimate","22,502"
"    Percent Distribution",""
"        Estimate","22,502"
"    Median income (dollars)",""
"        Estimate","60,108"
"Ventura County, California",""
"    Number",""
"        Estimate","271,040"
"    Percent Distribution",""
"        Estimate","271,040"
"    Median income (dollars)",""
"        Estimate","88,131"
"Yolo County, California",""
"    Number",""
"        Estimate","74,296"
"    Percent Distribution",""
"        Estimate","74,296"
"    Median income (dollars)",""
"        Estimate","70,228"
"Yuba County, California",""
"    Number",""
"        Estimate","26,354"
"    Percent Distribution",""
"        Estimate","26,354"
"    Median income (dollars)",""
"        Estimate","58,054"
