"Label (Grouping)","Households"
"    Median income (dollars)",""
"        Estimate","66,571"
"Shasta County, California",""
"    Total",""
"        Estimate","68,880"
"    Median income (dollars)",""
"        Estimate","44,396"
"Sierra County, California",""
"    Total",""
"        Estimate","1,338"
"    Median income (dollars)",""
"        Estimate","42,500"
"Siskiyou County, California",""
"    Total",""
"        Estimate","19,585"
"    Median income (dollars)",""
"        Estimate","37,948"
"Solano County, California",""
"    Total",""
"        Estimate","140,295"
"    Median income (dollars)",""
"        Estimate","69,006"
"Sonoma County, California",""
"    Total",""
"        Estimate","184,502"
"    Median income (dollars)",""
"        Estimate","63,565"
"Stanislaus County, California",""
"    Total",""
"        Estimate","165,999"
"    Median income (dollars)",""
"        Estimate","49,866"
"Sutter County, California",""
"    Total",""
"        Estimate","31,635"
"    Median income (dollars)",""
"        Estimate","50,510"
"Tehama County, California",""
"    Total",""
"        Estimate","23,552"
"    Median income (dollars)",""
"        Estimate","40,307"
"Trinity County, California",""
"    Total",""
"        Estimate","5,811"
"    Median income (dollars)",""
"        Estimate","36,569"
"Tulare County, California",""
"    Total",""
"        Estimate","129,996"
"    Median income (dollars)",""
"        Estimate","43,803"
"Tuolumne County, California",""
"    Total",""
"        Estimate","22,105"
"    Median income (dollars)",""
"        Estimate","48,169"
"Ventura County, California",""
"    Total",""
"        Estimate","265,951"
"    Median income (dollars)",""
"        Estimate","76,483"
"Yolo County, California",""
"    Total",""
"        Estimate","70,090"
"    Median income (dollars)",""
"        Estimate","57,260"
"Yuba County, California",""
"    Total",""
"        Estimate","24,133"
"    Median income (dollars)",""
"        Estimate","46,641"
