"Label (Grouping)","Households"
"    Median income (dollars)",""
"        Estimate","65,253"
"Shasta County, California",""
"    Total",""
"        Estimate","69,100"
"    Median income (dollars)",""
"        Estimate","43,944"
"Sierra County, California",""
"    Total",""
"        Estimate","1,437"
"    Median income (dollars)",""
"        Estimate","52,950"
"Siskiyou County, California",""
"    Total",""
"        Estimate","20,097"
"    Median income (dollars)",""
"        Estimate","36,981"
"Solano County, California",""
"    Total",""
"        Estimate","139,011"
"    Median income (dollars)",""
"        Estimate","68,409"
"Sonoma County, California",""
"    Total",""
"        Estimate","184,033"
"    Median income (dollars)",""
"        Estimate","63,274"
"Stanislaus County, California",""
"    Total",""
"        Estimate","163,841"
"    Median income (dollars)",""
"        Estimate","51,094"
"Sutter County, California",""
"    Total",""
"        Estimate","31,373"
"    Median income (dollars)",""
"        Estimate","50,944"
"Tehama County, California",""
"    Total",""
"        Estimate","23,510"
"    Median income (dollars)",""
"        Estimate","38,137"
"Trinity County, California",""
"    Total",""
"        Estimate","5,889"
"    Median income (dollars)",""
"        Estimate","38,725"
"Tulare County, California",""
"    Total",""
"        Estimate","126,664"
"    Median income (dollars)",""
"        Estimate","43,851"
"Tuolumne County, California",""
"    Total",""
"        Estimate","22,192"
"    Median income (dollars)",""
"        Estimate","47,462"
"Ventura County, California",""
"    Total",""
"        Estimate","264,305"
"    Median income (dollars)",""
"        Estimate","75,348"
"Yolo County, California",""
"    Total",""
"        Estimate","69,386"
"    Median income (dollars)",""
"        Estimate","57,077"
"Yuba County, California",""
"    Total",""
"        Estimate","23,750"
"    Median income (dollars)",""
"        Estimate","46,807"
