"Label (Grouping)","Households"
"    Median income (dollars)",""
"        Estimate","66,030"
"Shasta County, California",""
"    Total",""
"        Estimate","69,147"
"    Median income (dollars)",""
"        Estimate","44,058"
"Sierra County, California",""
"    Total",""
"        Estimate","1,328"
"    Median income (dollars)",""
"        Estimate","50,308"
"Siskiyou County, California",""
"    Total",""
"        Estimate","19,782"
"    Median income (dollars)",""
"        Estimate","37,865"
"Solano County, California",""
"    Total",""
"        Estimate","139,312"
"    Median income (dollars)",""
"        Estimate","69,914"
"Sonoma County, California",""
"    Total",""
"        Estimate","184,170"
"    Median income (dollars)",""
"        Estimate","64,343"
"Stanislaus County, California",""
"    Total",""
"        Estimate","164,933"
"    Median income (dollars)",""
"        Estimate","50,671"
"Sutter County, California",""
"    Total",""
"        Estimate","31,668"
"    Median income (dollars)",""
"        Estimate","50,010"
"Tehama County, California",""
"    Total",""
"        Estimate","23,810"
"    Median income (dollars)",""
"        Estimate","38,753"
"Trinity County, California",""
"    Total",""
"        Estimate","5,731"
"    Median income (dollars)",""
"        Estimate","37,672"
"Tulare County, California",""
"    Total",""
"        Estimate","128,324"
"    Median income (dollars)",""
"        Estimate","43,550"
"Tuolumne County, California",""
"    Total",""
"        Estimate","22,157"
"    Median income (dollars)",""
"        Estimate","47,359"
"Ventura County, California",""
"    Total",""
"        Estimate","264,982"
"    Median income (dollars)",""
"        Estimate","76,728"
"Yolo County, California",""
"    Total",""
"        Estimate","69,860"
"    Median income (dollars)",""
"        Estimate","57,920"
"Yuba County, California",""
"    Total",""
"        Estimate","23,885"
"    Median income (dollars)",""
"        Estimate","46,617"
