"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Number",""
"        Estimate","171,324"
"    Percent Distribution",""
"        Estimate","171,324"
"    Median income (dollars)",""
"        Estimate","54,260"
"Sutter County, California",""
"    Number",""
"        Estimate","32,188"
"    Percent Distribution",""
"        Estimate","32,188"
"    Median income (dollars)",""
"        Estimate","54,347"
"Tehama County, California",""
"    Number",""
"        Estimate","23,712"
"    Percent Distribution",""
"        Estimate","23,712"
"    Median income (dollars)",""
"        Estimate","42,512"
"Trinity County, California",""
"    Number",""
"        Estimate","5,462"
"    Percent Distribution",""
"        Estimate","5,462"
"    Median income (dollars)",""
"        Estimate","36,563"
"Tulare County, California",""
"    Number",""
"        Estimate","135,144"
"    Percent Distribution",""
"        Estimate","135,144"
"    Median income (dollars)",""
"        Estimate","44,871"
"Tuolumne County, California",""
"    Number",""
"        Estimate","22,267"
"    Percent Distribution",""
"        Estimate","22,267"
"    Median income (dollars)",""
"        Estimate","54,325"
"Ventura County, California",""
"    Number",""
"        Estimate","270,046"
"    Percent Distribution",""
"        Estimate","270,046"
"    Median income (dollars)",""
"        Estimate","81,972"
"Yolo County, California",""
"    Number",""
"        Estimate","72,845"
"    Percent Distribution",""
"        Estimate","72,845"
"    Median income (dollars)",""
"        Estimate","61,621"
"Yuba County, California",""
"    Number",""
"        Estimate","25,880"
"    Percent Distribution",""
"        Estimate","25,880"
"    Median income (dollars)",""
"        Estimate","51,776"
