"Label (Grouping)","Households"
"    Median income (dollars)",""
"        Estimate","66,519"
"Shasta County, California",""
"    Total",""
"        Estimate","68,980"
"    Median income (dollars)",""
"        Estimate","44,651"
"Sierra County, California",""
"    Total",""
"        Estimate","1,253"
"    Median income (dollars)",""
"        Estimate","39,009"
"Siskiyou County, California",""
"    Total",""
"        Estimate","19,417"
"    Median income (dollars)",""
"        Estimate","37,709"
"Solano County, California",""
"    Total",""
"        Estimate","141,464"
"    Median income (dollars)",""
"        Estimate","67,177"
"Sonoma County, California",""
"    Total",""
"        Estimate","185,660"
"    Median income (dollars)",""
"        Estimate","63,356"
"Stanislaus County, California",""
"    Total",""
"        Estimate","166,883"
"    Median income (dollars)",""
"        Estimate","49,297"
"Sutter County, California",""
"    Total",""
"        Estimate","31,725"
"    Median income (dollars)",""
"        Estimate","50,408"
"Tehama County, California",""
"    Total",""
"        Estimate","23,374"
"    Median income (dollars)",""
"        Estimate","41,924"
"Trinity County, California",""
"    Total",""
"        Estimate","5,668"
"    Median income (dollars)",""
"        Estimate","36,890"
"Tulare County, California",""
"    Total",""
"        Estimate","131,642"
"    Median income (dollars)",""
"        Estimate","42,708"
"Tuolumne County, California",""
"    Total",""
"        Estimate","22,025"
"    Median income (dollars)",""
"        Estimate","48,426"
"Ventura County, California",""
"    Total",""
"        Estimate","267,076"
"    Median income (dollars)",""
"        Estimate","76,544"
"Yolo County, California",""
"    Total",""
"        Estimate","70,347"
"    Median income (dollars)",""
"        Estimate","55,918"
"Yuba County, California",""
"    Total",""
"        Estimate","24,300"
"    Median income (dollars)",""
"        Estimate","44,902"
