"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Number",""
"        Estimate","174,826"
"    Percent Distribution",""
"        Estimate","174,826"
"    Median income (dollars)",""
"        Estimate","62,873"
"Sutter County, California",""
"    Number",""
"        Estimate","32,586"
"    Percent Distribution",""
"        Estimate","32,586"
"    Median income (dollars)",""
"        Estimate","63,502"
"Tehama County, California",""
"    Number",""
"        Estimate","24,661"
"    Percent Distribution",""
"        Estimate","24,661"
"    Median income (dollars)",""
"        Estimate","48,895"
"Trinity County, California",""
"    Number",""
"        Estimate","5,896"
"    Percent Distribution",""
"        Estimate","5,896"
"    Median income (dollars)",""
"        Estimate","41,780"
"Tulare County, California",""
"    Number",""
"        Estimate","139,044"
"    Percent Distribution",""
"        Estimate","139,044"
"    Median income (dollars)",""
"        Estimate","52,534"
"Tuolumne County, California",""
"    Number",""
"        Estimate","22,937"
"    Percent Distribution",""
"        Estimate","22,937"
"    Median income (dollars)",""
"        Estimate","60,509"
"Ventura County, California",""
"    Number",""
"        Estimate","271,639"
"    Percent Distribution",""
"        Estimate","271,639"
"    Median income (dollars)",""
"        Estimate","89,295"
"Yolo County, California",""
"    Number",""
"        Estimate","74,614"
"    Percent Distribution",""
"        Estimate","74,614"
"    Median income (dollars)",""
"        Estimate","73,746"
"Yuba County, California",""
"    Number",""
"        Estimate","26,434"
"    Percent Distribution",""
"        Estimate","26,434"
"    Median income (dollars)",""
"        Estimate","59,424"
