"Label (Grouping)","Households"
"    Median income (dollars)",""
"        Estimate","66,923"
"Shasta County, California",""
"    Total",""
"        Estimate","68,961"
"    Median income (dollars)",""
"        Estimate","44,556"
"Sierra County, California",""
"    Total",""
"        Estimate","1,291"
"    Median income (dollars)",""
"        Estimate","43,107"
"Siskiyou County, California",""
"    Total",""
"        Estimate","19,380"
"    Median income (dollars)",""
"        Estimate","37,495"
"Solano County, California",""
"    Total",""
"        Estimate","142,521"
"    Median income (dollars)",""
"        Estimate","67,341"
"Sonoma County, California",""
"    Total",""
"        Estimate","186,935"
"    Median income (dollars)",""
"        Estimate","63,799"
"Stanislaus County, California",""
"    Total",""
"        Estimate","168,090"
"    Median income (dollars)",""
"        Estimate","49,573"
"Sutter County, California",""
"    Total",""
"        Estimate","31,723"
"    Median income (dollars)",""
"        Estimate","51,527"
"Tehama County, California",""
"    Total",""
"        Estimate","23,480"
"    Median income (dollars)",""
"        Estimate","42,369"
"Trinity County, California",""
"    Total",""
"        Estimate","5,521"
"    Median income (dollars)",""
"        Estimate","36,862"
"Tulare County, California",""
"    Total",""
"        Estimate","132,706"
"    Median income (dollars)",""
"        Estimate","42,863"
"Tuolumne County, California",""
"    Total",""
"        Estimate","22,181"
"    Median income (dollars)",""
"        Estimate","48,493"
"Ventura County, California",""
"    Total",""
"        Estimate","267,829"
"    Median income (dollars)",""
"        Estimate","77,335"
"Yolo County, California",""
"    Total",""
"        Estimate","70,953"
"    Median income (dollars)",""
"        Estimate","55,508"
"Yuba County, California",""
"    Total",""
"        Estimate","24,712"
"    Median income (dollars)",""
"        Estimate","45,470"
