"Label (Grouping)","Households"
"    Median income (dollars)",""
"        Estimate","70,088"
"Shasta County, California",""
"    Total",""
"        Estimate","69,713"
"    Median income (dollars)",""
"        Estimate","45,582"
"Sierra County, California",""
"    Total",""
"        Estimate","1,275"
"    Median income (dollars)",""
"        Estimate","43,984"
"Siskiyou County, California",""
"    Total",""
"        Estimate","19,045"
"    Median income (dollars)",""
"        Estimate","38,524"
"Solano County, California",""
"    Total",""
"        Estimate","145,315"
"    Median income (dollars)",""
"        Estimate","69,227"
"Sonoma County, California",""
"    Total",""
"        Estimate","189,043"
"    Median income (dollars)",""
"        Estimate","66,833"
"Stanislaus County, California",""
"    Total",""
"        Estimate","170,328"
"    Median income (dollars)",""
"        Estimate","51,591"
"Sutter County, California",""
"    Total",""
"        Estimate","32,028"
"    Median income (dollars)",""
"        Estimate","52,943"
"Tehama County, California",""
"    Total",""
"        Estimate","23,573"
"    Median income (dollars)",""
"        Estimate","40,687"
"Trinity County, California",""
"    Total",""
"        Estimate","5,468"
"    Median income (dollars)",""
"        Estimate","35,270"
"Tulare County, California",""
"    Total",""
"        Estimate","134,153"
"    Median income (dollars)",""
"        Estimate","42,789"
"Tuolumne County, California",""
"    Total",""
"        Estimate","22,083"
"    Median income (dollars)",""
"        Estimate","50,731"
"Ventura County, California",""
"    Total",""
"        Estimate","269,338"
"    Median income (dollars)",""
"        Estimate","78,593"
"Yolo County, California",""
"    Total",""
"        Estimate","72,544"
"    Median income (dollars)",""
"        Estimate","57,663"
"Yuba County, California",""
"    Total",""
"        Estimate","25,655"
"    Median income (dollars)",""
"        Estimate","48,739"
