County,2010 Median Income,2011 Median Income,2012 Median Income,2013 Median Income,2014 Median Income,2015 Median Income,2016 Median Income,2017 Median Income,2018 Median Income,2019 Median Income,2020 Median Income
Siskiyou County,"36,981","37,865","37,948","37,709","37,495","37,170","38,524","40,884","44,200","45,241","47,403"
Solano County,"68,409","69,914","69,006","67,177","67,341","66,828","69,227","72,950","77,609","81,472","84,638"
Sonoma County,"63,274","64,343","63,565","63,356","63,799","64,240","66,833","71,769","76,753","81,018","86,173"
Stanislaus County,"51,094","50,671","49,866","49,297","49,573","50,125","51,591","54,260","57,387","60,704","62,873"
Sutter County,"50,944","50,010","50,510","50,408","51,527","52,017","52,943","54,347","56,955","59,050","63,502"
Tehama County,"38,137","38,753","40,307","41,924","42,369","41,001","40,687","42,512","42,899","44,514","48,895"
Trinity County,"38,725","37,672","36,569","36,890","36,862","34,974","35,270","36,563","38,497","40,846","41,780"
Tulare County,"43,851","43,550","43,803","42,708","42,863","42,031","42,789","44,871","47,518","49,687","52,534"
Tuolumne County,"47,462","47,359","48,169","48,426","48,493","50,306","50,731","54,325","56,493","60,108","60,509"
Ventura County,"75,348","76,728","76,483","76,544","77,335","77,348","78,593","81,972","84,017","88,131","89,295"
Yolo County,"57,077","57,920","57,260","55,918","55,508","54,989","57,663","61,621","65,923","70,228","73,746"
Yuba County,"46,807","46,617","46,641","44,902","45,470","46,892","48,739","51,776","52,624","58,054","59,424"
